dev,contributions,collaborators,knum,aknum,tenure,degree,popcon,psizes,bugs,deps,betweenness,closeness,degree_cent,packs_avg_degree,clus_sq,clus_dot,clus_red
D2254,4,1,1,1,0,1,13.0,11.7278432775,2.0,1.0,0.0,0.0686927969763,0.000755287009063,2.0,0.0,0.0294117647059,0.0
D2708,32,2,1,1,8,6,405.166666667,13.4273471583,3.83333333333,5.33333333333,0.00286438541272,0.0868309003785,0.00453172205438,1.33333333333,0.0,0.0657894736842,0.0
D1871,126,6,2,2,11,14,10673.5,13.2962164394,17.5,2.42857142857,0.00649956469482,0.0944764564112,0.0105740181269,1.5,0.0625,0.0401258842264,0.010989010989
D1870,6,1,1,1,2,1,496.0,12.2403049758,2.0,5.0,0.0,0.0866459429642,0.000755287009063,2.0,0.0,0.013698630137,0.0
D1876,1428,18,4,9.66666666667,8,551,22.8130671506,13.8268663749,0.68058076225,13.6352087114,0.186112756223,0.101184756936,0.416163141994,2.14156079855,0.39953951792,0.055793891601,0.378076225045
D737,2,1,1,1,0,1,3.0,11.93015444,0,2.0,0.0,0.0776043961615,0.000755287009063,2.0,0.0,0.0188679245283,0.0
D1478,389,79,3,3.24574592267,4,104,1127.75961538,14.2675600538,3.88461538462,5.83653846154,0.132782029852,0.113941668694,0.0785498489426,2.18269230769,0.0133351854424,0.0124343254611,0.0169902912621
D1477,29,9,2,2,6,9,1679.77777778,13.8447512945,11.5555555556,6.33333333333,0.0039521977363,0.091038580442,0.00679758308157,2.22222222222,0.04,0.0676337983316,0.0555555555556
D1475,45,16,2,2,8,15,1032.93333333,13.6637553733,17.6666666667,4.33333333333,0.00921244464075,0.0941854350966,0.011329305136,2.4,0.0344827586207,0.0472992126795,0.0666666666667
D1470,2,1,1,1,2,1,158.0,11.6220757902,2.0,9.0,0.0,0.0771679880934,0.000755287009063,2.0,0.0,0.0204081632653,0.0
D2357,10,1,1,1,0,1,0.0,14.8960009661,5.0,2.0,0.0,0.198711428817,0.000755287009063,2.0,0.0,0.0833333333333,0.0
D1278,351,8,2,2,8,34,1431.73529412,14.4752220317,4.47058823529,5.91176470588,0.0186211574424,0.0772818727597,0.0256797583082,1.29411764706,0.0666666666667,0.0285419252253,0.00534759358289
D1275,26,7,2,2,11,4,19712.0,11.9010663719,36.75,6.25,0.00117789940019,0.0951473138352,0.00302114803625,3.0,0.1,0.019320739622,0.166666666667
D1276,4,1,1,1,0,1,530.0,15.0559799839,24.0,28.0,0.0,0.0798598317392,0.000755287009063,2.0,0.0,0.0277777777778,0.0
D1271,381,26,4,4.3826458037,4,97,3499.4742268,16.350691781,11.4536082474,12.1340206186,0.0442533607373,0.107060292359,0.0732628398792,2.57731958763,0.186914655059,0.0392424013411,0.213487972509
D2355,4,3,1,1,2,1,619.0,13.6388067918,25.0,19.0,0.0,0.0889413677656,0.000755287009063,4.0,0.0,0.0246033220439,0.0
D739,139,1,2,2,4,68,35.6911764706,13.7123790269,1.29411764706,4.77941176471,0.0177566237264,0.0738063356563,0.0513595166163,1.54411764706,1.0,0.43023255814,0.292361720808
D2421,104,12,3,3.24574592267,8,29,817.103448276,15.7536701678,4.93103448276,7.06896551724,0.0137010559894,0.092866478068,0.0219033232628,1.79310344828,0.113744075829,0.0273938534774,0.0541871921182
D2352,6,6,2,2,4,2,2839.0,13.3332699615,2.5,2.0,0.000366449220539,0.0855364740539,0.00151057401813,4.0,0.0,0.234432006633,0.0
D87,1,3,1,1,0,1,91.0,11.4243128066,2.0,3.0,0.0,0.0841260027894,0.000755287009063,4.0,0.0,0.0126614351324,0.0
D614,4,1,2,2,2,2,30.0,9.81189296138,0.5,3.0,1.83273748335e-08,0.0747950892459,0.00151057401813,2.0,1.0,0.0952380952381,1.0
D1018,6,1,1,1,0,1,140.0,12.3214126995,1.0,6.0,0.0,0.0686627734482,0.000755287009063,2.0,0.0,0.0294117647059,0.0
D81,77,2,2,2,11,18,99.6666666667,14.2716973675,2.33333333333,5.88888888889,0.00937028647173,0.08502881077,0.0135951661631,1.11111111111,0.0,0.0191496267446,0.0
