id,dev,period,rstart,rstop,status,has_written_peps,has_written_acc_peps,peps_this_year,total_peps,accepted_peps_year,total_accepted_peps,biconnected,top,tenure,colaborators,knum,aknum,clus_sq,clus_dot,clus_red,degree,contributions,dcentrality,betweenness,closeness
22,Thomas Heller,18,17,18,0,1,0,0,1,0,0,1,0,10,44,4,4.665040998217469,0.5775234131113424,0.019320925543700802,0.5668449197860962,34,5377,0.02073955660258298,0.012622663357743442,0.012622663357743442
23,Thomas Wouters,18,17,18,0,1,1,0,3,0,2,1,0,10,43,4,4.665040998217469,0.3312883435582822,0.04787340357216082,1.0,6,278,0.0036599217533969963,6.663228981883643e-05,6.663228981883643e-05
53,Armin Rigo,18,17,18,0,0,0,0,0,0,0,0,0,7,1,1,1,0.0,0.0009319664492078285,0.0,3,57,0.0018299608766984981,0.0038828535533226515,0.0038828535533226515
101,Tarek Ziadé,18,17,18,0,1,1,4,4,1,2,1,1,2,45,7,8.133640552995391,0.34051456912585243,0.019484909250652643,0.19955022488755622,116,27958,0.07075848723234193,0.11496654993487368,0.11496654993487368
24,Gregory P. Smith,18,17,18,0,0,0,0,0,0,0,1,1,10,44,7,8.133640552995391,0.2459956495946213,0.032520086522287335,0.61917684305744,67,11883,0.040869126246266464,0.021018011935277973,0.021018011935277973
103,Benjamin Peterson,18,17,18,0,1,1,2,5,1,2,1,1,2,56,7,8.133640552995391,0.18906636592018602,0.031796043925444675,0.3519987434226027,1071,198093,0.653296032981364,1.0,1.0
104,Jeroen Ruigrok van der Werven,18,17,18,0,0,0,0,0,0,0,1,0,2,45,6,7.09880059970015,0.5558639833448994,0.0211899625515248,0.7203389830508475,60,5578,0.03659921753396997,0.016422876346528552,0.016422876346528552
26,Skip Montanaro,18,17,18,0,1,1,0,4,0,1,1,0,10,43,6,7.09880059970015,0.31361760660247595,0.03530395996157877,0.9238095238095239,15,143,0.009149804383492492,0.0003963742212062066,0.0003963742212062066
3,Barry Warsaw,18,17,18,0,1,1,2,21,1,17,1,0,16,44,4,4.665040998217469,0.5852272727272727,0.022463754900251296,0.670995670995671,22,800,0.013419713095788988,0.006261348310180414,0.006261348310180414
88,Amaury Forgeot d'Arc,18,17,18,0,0,0,0,0,0,0,1,1,3,44,7,8.133640552995391,0.23064461118690313,0.03862345716258691,0.5779639175257731,97,23916,0.05916873501325145,0.04082274056483166,0.04082274056483166
112,Philip Jenvey,18,17,18,0,0,0,0,0,0,0,1,0,1,44,5,5.9077953132472505,0.25397923875432526,0.028942682333289962,0.5449735449735449,28,963,0.017079634849185985,0.01141203592180362,0.01141203592180362
78,Jack Diederich,18,17,18,0,1,0,0,1,0,0,1,0,4,43,4,4.665040998217469,0.5126050420168067,0.040764646894463144,0.8571428571428571,8,2091,0.004879895671195996,0.00013769094074932118,0.00013769094074932118
105,Steven Bethard,18,17,18,0,1,1,1,3,1,2,0,0,2,2,1,1,0.0,0.009686688913607713,0.0,1,491,0.0006099869588994995,0.0,0.0
8,Andrew M. Kuchling,18,17,18,0,0,0,0,0,0,0,1,0,12,43,6,7.09880059970015,0.44126506024096385,0.030988328143715497,1.0,33,2311,0.02012956964368348,0.000845366252355724,0.000845366252355724
55,Hye-Shik Chang,18,17,18,1,0,0,0,0,0,0,1,0,7,43,3,3.515699467339501,0.8888888888888888,0.0494789356779568,1.0,3,16,0.0018299608766984981,1.747955408192568e-05,1.747955408192568e-05
40,Kurt B. Kaiser,18,17,18,0,0,0,0,0,0,0,1,0,9,17,4,4.665040998217469,0.1394422310756972,0.020572180883799033,0.3939393939393939,12,806,0.0073198435067939925,0.004833245254947089,0.004833245254947089
65,Facundo Batista,18,17,18,0,1,1,0,1,0,1,1,0,6,43,3,3.515699467339501,0.6551724137931034,0.04745756679812942,1.0,4,501,0.002439947835597998,5.1465732803729714e-05,5.1465732803729714e-05
113,Michael Foord,18,17,18,0,0,0,0,0,0,0,1,1,1,43,7,8.133640552995391,0.4673913043478261,0.032590463049140345,0.9411764705882353,18,2417,0.01097976526019099,0.00039132792749350264,0.00039132792749350264
107,Robert Schuppenies,18,17,18,1,0,0,0,0,0,0,0,0,2,2,1,1,0.0,0.0009802925250418002,0.0,2,58,0.001219973917798999,0.0019418647254040877,0.0019418647254040877
114,Frank Wierzbicki,18,17,18,0,0,0,0,0,0,0,1,0,1,5,2,2,1.0,0.006760648795144947,1.0,2,514,0.001219973917798999,5.412242303536656e-07,5.412242303536656e-07
32,Mark Hammond,18,17,18,0,1,1,0,1,0,1,1,0,10,43,3,3.515699467339501,0.4444444444444444,0.03209151649107704,0.08888888888888889,10,1437,0.006099869588994994,0.01204335295012812,0.01204335295012812
81,Alexandre Vassalotti,19,18,19,0,1,1,0,1,0,1,1,0,4,53,8,10.046861184792219,0.24048744093509078,0.02600690799161938,0.6386913229018493,38,4290,0.015463318218811768,0.010329814570202168,0.010329814570202168
115,Florent Xicluna,19,18,19,0,0,0,0,0,0,0,1,1,1,57,9,11.248101265822784,0.16020236087689713,0.039444228890082644,0.5419510419510419,297,196934,0.12085803976281828,0.14616980491067497,0.14616980491067497
116,Daniel Stutzbach,19,18,19,0,1,1,0,2,0,1,1,1,1,55,9,11.248101265822784,0.16251034156719063,0.04444288920068679,0.8903225806451613,31,1446,0.012614812231135914,0.0017204844191295989,0.0017204844191295989
117,Stefan Krah,19,18,19,0,0,0,0,0,0,0,1,1,1,54,9,11.248101265822784,0.1384652626482692,0.04756572597213317,0.888888888888889,27,2073,0.010987094523892571,0.0014433210765658932,0.0014433210765658932
4,Fred Drake,19,18,19,0,0,0,0,0,0,0,1,0,15,54,6,7.535686190374026,0.19656992084432717,0.03928312198842671,0.8484848484848485,12,1810,0.004883153121730032,0.0003123472577840774,0.0003123472577840774
108,Doug Hellmann,19,18,19,1,0,0,0,0,0,0,1,0,2,6,2,2,0.0,0.005922650834664611,0.0,2,45,0.0008138588536216719,1.1845685647057328e-05,1.1845685647057328e-05
70,Nick Coghlan,19,18,19,0,1,1,1,9,0,5,1,1,6,55,9,11.248101265822784,0.20087128712871288,0.04046844541183088,0.9221835075493612,42,3927,0.01709103592605511,0.003474237441649464,0.003474237441649464
109,Ezio Melotti,19,18,19,0,0,0,0,0,0,0,1,1,2,59,9,11.248101265822784,0.1200660753548315,0.04204992901937868,0.4140571948615632,535,37171,0.21770724334379724,0.3604987104652935,0.3604987104652935
66,Phillip J. Eby,19,18,19,1,1,1,0,4,0,2,1,0,7,53,3,3.880512818978133,0.30303030303030304,0.031738689168772656,0.46428571428571425,8,414,0.0032554354144866877,0.002353938994196382,0.002353938994196382
84,Eric Smith,19,18,19,0,0,0,0,0,0,0,1,1,4,54,9,11.248101265822784,0.22671660424469414,0.03753231951436689,0.8539682539682539,36,2591,0.014649459365190094,0.0025126868909153425,0.0025126868909153425
118,Larry Hastings,19,18,19,0,1,1,0,1,0,1,1,0,1,54,8,10.046861184792219,0.19464254652983126,0.03164308325680557,0.4841437632135307,44,1477,0.017904894779676783,0.018017850516078016,0.018017850516078016
119,Ned Deily,19,18,19,0,0,0,0,0,0,0,0,0,1,3,1,1,0.0,0.00582685035489413,0.0,1,154,0.00040692942681083596,0.0,0.0
75,Ronald Oussoren,19,18,19,0,0,0,0,0,0,0,1,1,5,57,9,11.248101265822784,0.12984084880636604,0.03517102751684116,0.5053351573187415,86,7668,0.03499593070573189,0.0331889632543698,0.0331889632543698
58,Sean Reifscheider,19,18,19,0,1,0,0,1,0,0,1,0,7,54,3,3.880512818978133,0.22529644268774704,0.03462526791076206,0.39999999999999997,11,737,0.004476223694919196,0.002515684022014323,0.002515684022014323
85,Jeffrey Yasskin,19,18,19,1,1,1,1,2,0,1,1,0,4,54,8,10.046861184792219,0.1579476861167002,0.04095658679025383,0.592885375494071,23,1254,0.009359376816649227,0.007491144363410647,0.007491144363410647
16,Lars Gustäbel,19,18,19,0,0,0,0,0,0,0,1,0,11,53,4,5.090870016303542,0.75,0.03774947381377494,0.6000000000000001,5,1106,0.0020346471340541798,0.001828081101436805,0.001828081101436805
