id,year,dev,has_written_peps,has_written_acc_peps,is_delegate,peps_this_year,total_peps,accepted_peps_year,total_accepted_peps,degree,contributions_sc,contributions_edits,contributions_added,contributions_deleted,collaborators,knum,aknum,top,top2,tenure,betweenness,closeness,degree_cent,file_mean_degree,clus_sq,clus_dot,clus_red
3,1995,Barry Warsaw,0,0,0,0,0,0,0,2,2298,36,1338,960,0,1,1,0,0,2,2.538490886665194e-06,0.7540064102564102,0.002577319587628866,1.0,0.0,0.0,0.0
0,1995,Guido van Rossum,0,0,0,0,0,0,0,776,137359,2245,111872,25487,2,3,3.269230769230769,1,1,4,1.0,0.5635459581053106,1.0,1.2358247422680413,0.860215774308115,0.10197958552428085,0.042540738277352844
1,1995,Sjoerd Mullender,0,0,0,0,0,0,0,43,3339,50,2452,887,2,3,3.269230769230769,1,1,4,0.043188946637948235,0.25947589016920997,0.055412371134020616,1.813953488372093,0.9594202898550724,0.031761006289308176,0.3167220376522702
2,1995,Jack Jansen,0,0,0,0,0,0,0,298,82940,738,60501,22439,2,3,3.269230769230769,1,1,4,0.3231004648009679,0.31943633601710175,0.38402061855670105,1.570469798657718,0.9883274578926753,0.10355191256830601,0.2840711364201297
3,1996,Barry Warsaw,0,0,0,0,0,0,0,75,11610,191,6780,4830,3,3,3.2666666666666666,1,1,3,0.06773599789603148,0.32008875314104895,0.08108108108108107,1.5466666666666666,0.9215017064846417,0.03273007581866596,0.19135135135135137
0,1996,Guido van Rossum,0,0,0,0,0,0,0,925,248003,2063,153333,94670,5,3,3.2666666666666666,1,1,5,1.0,0.6710741040756355,1.0,1.1145945945945945,0.32863574084948133,0.0216496381434501,0.003907803907803908
1,1996,Sjoerd Mullender,0,0,0,0,0,0,0,2,421,2,418,3,1,2,2,0,1,5,6.274628702210444e-07,0.29685430052192924,0.002162162162162162,2.0,1.0,0.002162162162162162,1.0
4,1996,Fred Drake,0,0,0,0,0,0,0,77,12496,139,6870,5626,2,3,3.2857142857142856,1,1,1,0.05276123947237667,0.31716823532041893,0.08324324324324324,1.6363636363636365,1.0,0.03702448530034737,0.33834586466165417
5,1996,Roger E. Masse,0,0,0,0,0,0,0,37,13075,70,11172,1903,3,3,3.2666666666666666,1,1,1,0.035640806410223505,0.3550729171717867,0.039999999999999994,1.5405405405405406,0.8740157480314961,0.018632559403170153,0.16216216216216217
2,1996,Jack Jansen,0,0,0,0,0,0,0,295,369845,1092,198670,171175,2,2,2,0,1,5,0.41579135064218503,0.39910032825623326,0.3189189189189189,1.040677966101695,1.0,0.0060597882447604706,0.0012683039317421885
3,1997,Barry Warsaw,0,0,0,0,0,0,0,97,11723,175,7969,3754,3,3,3.221052631578947,1,1,4,0.04830615258918322,0.3522693997071742,0.08531222515391382,1.9175257731958764,0.9459459459459459,0.04907718868117713,0.49677835051546393
0,1997,Guido van Rossum,0,0,0,0,0,0,0,1137,301248,3161,175436,125812,4,3,3.221052631578947,1,1,6,1.0,0.903831705484598,1.0,1.2172383465259455,0.5799308218663057,0.053226751915626466,0.023672377271544837
6,1997,Jeremy Hylton,0,0,0,0,0,0,0,3,785,8,502,283,1,2,2,0,1,1,0.001701940821165689,0.32277971558894547,0.002638522427440633,1.6666666666666667,1.0,0.0017574692442882249,0.3333333333333333
4,1997,Fred Drake,0,0,0,0,0,0,0,184,8907,318,5117,3790,2,3,3.221052631578947,1,1,2,0.04649051693528024,0.3682277318640955,0.16182937554969218,1.983695652173913,0.9785217004888165,0.10614737632468105,0.7766690425279164
5,1997,Roger E. Masse,0,0,0,0,0,0,0,27,12322,31,6492,5830,2,2,2,0,1,2,0.020410491642943167,0.33444537114261885,0.0237467018469657,1.6296296296296295,1.0,0.014724136455078543,0.29914529914529914
2,1997,Jack Jansen,0,0,0,0,0,0,0,316,293057,847,149685,143372,0,1,1,0,0,6,0.07044124296832954,1.0,0.27792436235708007,1.0,0.0,0.0,0.0
3,1998,Barry Warsaw,0,0,0,0,0,0,0,45,13291,306,8243,5048,3,3,3.340659340659341,1,1,5,0.052001842175709974,0.2582536764705882,0.05798969072164949,1.6444444444444444,0.8288288288288288,0.031533667179885164,0.16767676767676767
